Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
MDC Partners Inc;2017;2016;Media & Publishing;32.76142325;32.31000429;38.63986841;26.42251968
Medicines Co;2016;2015;Pharmaceuticals;21.90598126;15.19607843;25.69732118;24.9730019
Medpace Holdings Inc;2017;2016;Biotechnology & Medical Research;35.60374457;41.91176471;48.40912948;13.66722493
Mercury Systems Inc;2017;2016;Aerospace & Defense;22.37130248;13.38484546;25.48340893;28.76670442
Meridian Bancorp Inc;2017;2016;Banking Services;34.83047232;33.50183824;48.91676448;19.91605223
MetLife Inc;2010;2009;Insurance;50.21468978;63.68613139;60.41945101;23.31967213
MGM Resorts International;2008;2007;Hotels & Entertainment Services;32.77447917;30.31862745;53.87323944;10.9545765
MGM Resorts International;2009;2008;Hotels & Entertainment Services;42.5721831;44.22120961;58.83753224;21.80212422
MGM Resorts International;2010;2009;Hotels & Entertainment Services;45.61395089;54.30672269;55.13916834;24.8369194
MGM Resorts International;2011;2010;Hotels & Entertainment Services;42.48036981;51.67396746;52.03026671;21.11631538
Michaels Companies Inc;2016;2015;Specialty Retailers;21.4543382;20.83678542;31.73973418;10.17123121
Michaels Companies Inc;2017;2016;Specialty Retailers;30.59105104;22.43315508;55.33504055;10.88471775
MicroStrategy Inc;2016;2015;Software & IT Services;26.37939079;26.9400718;34.23923825;16.60602228
MicroStrategy Inc;2017;2016;Software & IT Services;31.5733791;29.01268314;42.12000628;22.15234296
Midland States Bancorp Inc;2017;2016;Banking Services;29.8231128;27.61948529;40.85729656;19.43654925
Milacron Holdings Corp;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.68511743;18.55285592;33.84364156;14.30378251
MKS Instruments Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.9475225;25.17622752;24.37725527;18.79894926
MKS Instruments Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;28.39305143;28.73508099;34.33353746;21.0974364
Moelis & Co;2016;2015;Investment Banking & Investment Services;31.76589452;26.19544592;59.41390277;5.79510629
Moelis & Co;2017;2016;Investment Banking & Investment Services;27.41267988;25.76575009;46.54554546;6.979200689
Molson Coors Brewing Co;2008;2007;Beverages;44.15291461;56.33874239;53.22972317;20.0039032
Molson Coors Brewing Co;2009;2008;Beverages;56.17048122;80.66608997;66.75642088;16.54256138
Monarch Casino & Resort Inc;2017;2016;Hotels & Entertainment Services;29.02394973;29.66191631;36.56163787;19.53939916
Monster Beverage Corp;2011;2010;Beverages;;;20.49866768;23.97626366
Monster Beverage Corp;2012;2011;Beverages;;;18.68653783;21.09887555
Monster Beverage Corp;2013;2012;Beverages;18.59822742;26.85421995;14.11512554;14.61286255
Monster Beverage Corp;2014;2013;Beverages;21.95583376;29.28921569;22.68192488;12.93579376
Monster Beverage Corp;2015;2014;Beverages;20.33717528;25.28835063;22.63186965;12.14695848
Monster Beverage Corp;2016;2015;Beverages;20.81836837;;;10.22415858
Monster Beverage Corp;2017;2016;Beverages;;;26.56125432;16.30053023
Mosaic Co;2008;2007;Chemicals;24.38470891;32.76542324;20.20783236;19.90388368
Mosaic Co;2009;2008;Chemicals;24.16587211;20.52214144;25.44706441;26.73651197
Mosaic Co;2010;2009;Chemicals;35.79601898;31.23179965;54.89471482;18.65437158
MRC Global Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;18.65307561;19.64935811;17.65380557;18.70555042
MRC Global Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;19.3441451;20.19996117;16.60856226;21.57415965
MSCI Inc;2009;2008;Professional & Commercial Services;25.56971104;27.0041645;38.38962981;9.049103363
MSCI Inc;2010;2009;Professional & Commercial Services;24.81081226;25.52200269;35.92355661;11.0835041
MSG Networks Inc;2011;2010;Media & Publishing;31.05534448;42.69399249;32.50674258;16.39178169
MSG Networks Inc;2015;2014;Media & Publishing;19.09252674;16.48606811;25.401532;14.65481875
MSG Networks Inc;2016;2015;Media & Publishing;21.7481454;24.35548293;29.84263606;9.420148854
MSG Networks Inc;2017;2016;Media & Publishing;24.55254498;27.69102486;30.26717003;14.40246284
Mueller Industries Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;19.18873446;18.77734565;15.89163078;23.4849443
NantHealth Inc;2017;2016;Healthcare Equipment & Supplies;23.22949265;27.11937716;26.20650373;15.42818227
NantKwest Inc;2017;2016;Biotechnology & Medical Research;36.31020585;30.85577605;62.66332937;11.71724612
Natera Inc;2017;2016;Healthcare Equipment & Supplies;40.32441107;65.74129652;31.92009198;21.77291017
National CineMedia Inc;2016;2015;Media & Publishing;35.88283701;33.49789916;51.76559356;20.05496911
National CineMedia Inc;2017;2016;Media & Publishing;34.38962523;35.40145985;45.75408656;20.03419065
National Instruments Corp;2015;2014;Software & IT Services;66.31241031;91.13533525;80.18319708;22.49626676
National Oilwell Varco Inc;2008;2007;Oil & Gas Related Equipment and Services;27.08416005;32.73420479;32.91601461;13.99785324
National Oilwell Varco Inc;2009;2008;Oil & Gas Related Equipment and Services;30.47857579;26.65189363;45.57206251;17.17655661
National Oilwell Varco Inc;2010;2009;Oil & Gas Related Equipment and Services;32.72542067;37.70739065;47.11989888;10.41752049
